output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Views,,2026-08-20,manual
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Downloads,,2026-08-20,manual
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Citation Count,3,2026-08-20,ok
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Views,,2026-08-20,manual
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Downloads,,2026-08-20,manual
o097,https://doi.org/10.5281/zenodo.17109457,Attribution Bias in Literary Style Evaluation: Comparing Human and AI Perceptions of Authorship,Exercises in Literary Style,Dataset,Views,168,2026-08-20,ok
o097,https://doi.org/10.5281/zenodo.17109457,Attribution Bias in Literary Style Evaluation: Comparing Human and AI Perceptions of Authorship,Exercises in Literary Style,Dataset,Downloads,2713,2026-08-20,ok
o098,https://doi.org/10.5281/zenodo.16876911,"Teaching Critical AI Literacy through ""Lab""-Based Learning",Humanities for AI,Presentation / Poster,Views,139,2026-08-20,ok
o098,https://doi.org/10.5281/zenodo.16876911,"Teaching Critical AI Literacy through ""Lab""-Based Learning",Humanities for AI,Presentation / Poster,Downloads,89,2026-08-20,ok
o099,https://doi.org/10.5281/zenodo.14537978,Time Horizons of Futuristic Fiction [poster],Staff Projects,Presentation / Poster,Views,121,2026-08-20,ok
o099,https://doi.org/10.5281/zenodo.14537978,Time Horizons of Futuristic Fiction [poster],Staff Projects,Presentation / Poster,Downloads,107,2026-08-20,ok
o100,https://doi.org/10.5281/zenodo.14518294,Evaluating Augmented Training Data for Complex Document Layouts: the Case of Arabic Scientific Manuscripts,Princeton Open HTR Initiative,Presentation / Poster,Views,71,2026-08-20,ok
o100,https://doi.org/10.5281/zenodo.14518294,Evaluating Augmented Training Data for Complex Document Layouts: the Case of Arabic Scientific Manuscripts,Princeton Open HTR Initiative,Presentation / Poster,Downloads,39,2026-08-20,ok
o101,https://doi.org/10.5281/zenodo.14516551,Computational Approaches to Nigerian Literature: Analyzing Texts in Yoruba and Efik,African Language Technologies Lab,Presentation / Poster,Views,138,2026-08-20,ok
o101,https://doi.org/10.5281/zenodo.14516551,Computational Approaches to Nigerian Literature: Analyzing Texts in Yoruba and Efik,African Language Technologies Lab,Presentation / Poster,Downloads,309,2026-08-20,ok
o102,https://doi.org/10.5281/zenodo.14516179,Charting the Evolution of Topics and Ideas in the Princeton Prosody Archive,Princeton Prosody Archive,Presentation / Poster,Views,100,2026-08-20,ok
o102,https://doi.org/10.5281/zenodo.14516179,Charting the Evolution of Topics and Ideas in the Princeton Prosody Archive,Princeton Prosody Archive,Presentation / Poster,Downloads,125,2026-08-20,ok
o103,https://doi.org/10.5281/zenodo.3374002,Annual Report 2018-2019: Cultivating Princeton's Data Landscape,Digital Humanities Processes and Practices,Grey Literature,Views,955,2026-08-20,ok
o103,https://doi.org/10.5281/zenodo.3374002,Annual Report 2018-2019: Cultivating Princeton's Data Landscape,Digital Humanities Processes and Practices,Grey Literature,Downloads,653,2026-08-20,ok
o104,https://doi.org/10.1007/978-3-031-70543-4_11,CATMuS Medieval: A Multilingual Large-Scale Cross-Century Dataset in Latin Script for Handwritten Text Recognition and Beyond,Staff Projects,Publication,Citation Count,14,2026-08-20,ok
o104,https://doi.org/10.1007/978-3-031-70543-4_11,CATMuS Medieval: A Multilingual Large-Scale Cross-Century Dataset in Latin Script for Handwritten Text Recognition and Beyond,Staff Projects,Publication,Views,,2026-08-20,manual
