ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider,Retrieved Date,Status
23,ppa-django,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.2400704,,,207,Downloads,Zenodo,2026-08-11,ok
77,bitKlavier,bitKlavier,Software Release,https://doi.org/10.5281/zenodo.3667650,,,133,Downloads,Zenodo,2026-08-11,ok
7,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,,335,Downloads,Zenodo,2026-08-11,ok
51,piffle,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13256210,,,435,Views,Zenodo,2026-08-11,ok
92,undate,R&D,Software Release,https://doi.org/10.5281/zenodo.11068867,,,89,Downloads,Zenodo,2026-08-11,ok
53,django-pucas,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13905619,,,207,Views,Zenodo,2026-08-11,ok
81,djiffy,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.15587021,,,104,Downloads,Zenodo,2026-08-11,ok
18,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,,73,Views,Zenodo,2026-08-11,ok
19,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,,34,Downloads,Zenodo,2026-08-11,ok
84,piffle,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13256210,,,98,Downloads,Zenodo,2026-08-11,ok
86,django-pucas,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13905619,,,44,Downloads,Zenodo,2026-08-11,ok
107,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,89,Views,DataCommons,2026-08-11,ok
1,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,89,Views,DataCommons,2026-08-11,ok
2,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,9,Downloads,DataCommons,2026-08-11,ok
108,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,9,Downloads,DataCommons,2026-08-11,ok
