Task,Status,Assignee,Output Type,Link,Daily time required,Start,Deadline,Completed,Project,Project Status (from Project),Type,Availability,Predecessors,Additional Versions,DOI,DOI Service,Range,Photo (from Assignee),Is Overdue,Is Complete,Description,Order,Access_Metrics,Access_Metrics 2
Citation Detection Pipeline,To do,"Laure Thompson,Mary Naydan,Hao Tan,Rebecca Koeser",,,,8/4/2025,10/3/2025,,Marxism’s Marx,Active Collaboration,Software Release,,,,,,08-04 → 10-03,,Yes,,,b0f,,
Citations Dataset,To do,,,,,,3/27/2026,,Marxism’s Marx,Active Collaboration,Dataset,,,,,,#ERROR!,,Yes,,,b0g,,
Citations Data Paper,To do,,,,,,3/27/2026,,Marxism’s Marx,Active Collaboration,Publication,,,,,,#ERROR!,,Yes,,,b0h,,
Citing Marx Project Whitepaper,To do,,,,,10/1/2025,12/19/2025,,Marxism’s Marx,Active Collaboration,Grey Literature,,,,,,10-01 → 12-19,,Yes,,,b0i,,
Citing Marx Project Charter,Done,"Mary Naydan,Rebecca Koeser",,https://doi.org/10.5281/zenodo.14861082,,1/6/2025,2/10/2025,2/10/2025,Marxism’s Marx,Active Collaboration,Grey Literature,,,,10.5281/zenodo.14861082,Zenodo,01-06 → 02-10,,,Yes,,b0c,,"57,89,139,140"
Annotated Text from DNZ,Done,Edward Baring,,,,9/2/2024,1/31/2025,1/31/2025,Marxism’s Marx,Active Collaboration,Dataset,,,,,,09-02 → 01-31,,,Yes,,b0d,,
Technical Specification Document,Done,"Rebecca Koeser,Laure Thompson",,,,3/3/2025,7/23/2025,,Marxism’s Marx,Active Collaboration,Grey Literature,,,,,,03-03 → 07-23,,,Yes,,b0e,,
MUSE Project Charter,To do,Mary Naydan,,,,8/25/2025,9/26/2025,,Music Theory in the Plural,Active Collaboration,Grey Literature,,,,,,08-25 → 09-26,,Yes,,,b0j,,
MUSE Whitepaper,To do,,,,,,4/30/2026,,Music Theory in the Plural,Active Collaboration,,,,,,,#ERROR!,,Yes,,,b28,,
HTR2HPC Project Charter,Done,"Mary Naydan,Christine Roughan",Tier 2 Collaborative Publication,https://zenodo.org/records/17344496,,6/17/2024,,7/12/2024,Open HTR,Active Collaboration,Grey Literature,,,,https://zenodo.org/records/17344496,,#ERROR!,,,Yes,,b1F,,
Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Done,"Rebecca Koeser,Christine Roughan",Tier 3 Staff Publication,https://doi.org/10.5281/zenodo.17245594,,5/1/2025,8/30/2025,10/1/2025,Open HTR,Active Collaboration,Publication,,,,10.5281/zenodo.17245594,,05-01 → 08-30,,,Yes,,b1O,,
Software for Integration,Released,"Rebecca Koeser,Christine Roughan",,,,,,,Open HTR,Active Collaboration,,,,,,,#ERROR!,,Yes,Yes,,b2F,,
