output_id,output_name,project,type,status,assignee,link,doi_service,completed_date,availability,description,alt_id,source,zenodo_concept,zotero_key
o104,CATMuS Medieval: A Multilingual Large-Scale Cross-Century Dataset in Latin Script for Handwritten Text Recognition and Beyond,Staff Projects,Publication,Done,"Elisa Barney Smith,Marcus Liwicki,Liangrui Peng,Thibault Clérice,Ariane Pinche,Malamatenia Vlachou-Efstathiou,Alix Chagué,Jean-Baptiste Camps,Matthias Levenson,Olivier Brisville-Fertin,Federico Boschetti,Franz Fischer,Michael Gervers,Agnès Boutreux,Avery Manton,Simon Gabay,Patricia O’Connor,Wouter Haverals,Mike Kestemont,Caroline Vandyck,Benjamin Kiessling",https://doi.org/10.1007/978-3-031-70543-4_11,,,,,,zotero,,KFWWTSNV
o105,Latin Treebanks in Review: An Evaluation of Morphological Tagging Across Time,Staff Projects,Publication,Done,"Marisa Hudspeth,Brendan O’Connor,Laure Thompson",https://doi.org/10.18653/v1/2024.ml4al-1.21,,,,,,zotero,,WBG5TV4S
o106,Proceedings of Digital Humanities Tech Symposium 2025: Introduction,DH Tech,Publication,Done,"Rebecca Koeser,Jose Hernandez,Julia Damerow,Malte Vogl,Robert Casties,Julia Damerow,Rebecca Koeser",https://doi.org/10.63744/dCDQd0sTPLEk,,,,,,zotero,,FETUDXK4
o107,Undate in Action,Staff Projects,Publication,Done,"Rebecca Koeser,Julia Damerow,Rebecca Koeser",https://doi.org/10.63744/SFtXXpIE4ERh,,,,,,zotero,,8TWS7WXH
o108,Humanities and Human-Centered Machine Learning,Staff Projects,Publication,Done,"Laure Thompson,David Mimno",,,,,,isbn:9781108836753,zotero,,VRXP4B9P
o109,Princeton Geniza Project datasets,Princeton Geniza Lab,Publication,Done,"Rebecca Koeser,Marina Rustow",https://doi.org/10.22148/jca.1084,,8/12/2026,,,,zotero,,EWL6HUT2
o110,Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library,Undate,Presentation / Poster,Done,"Rebecca Koeser,Mary Naydan,Meredith Martin",https://doi.org/10.5281/zenodo.18187581,Zenodo,1/8/2026,,,,zotero,,5L2CKL6Y
o111,Computational Approaches to Textual Multiplicity in Curricular Manuscripts,Staff Projects,Presentation / Poster,Done,Christine Roughan,https://www.oeaw.ac.at/en/imafo/events/event-details/computational-approaches-to-textual-multiplicity-in-curricular-manuscripts,,6/18/2024,,,,zotero,,6EDS4IHX
o112,Machine Learning for Manuscript Texts and Images,Staff Projects,Presentation / Poster,Done,Christine Roughan,https://pricelab.sas.upenn.edu/events/mellon-seminar-christine-roughan,,11/4/2024,,,,zotero,,KCR5J4S8
o113,Integrating ATR Software with University HPC Infrastructure,Princeton Open HTR Initiative,Presentation / Poster,Done,Christine Roughan,https://cdh.princeton.edu/events/2025/06/scoop-source-codes-of-the-past-launching-an-international-atrhtr-network-for-manuscript-analysis/,,6/13/2025,,,,zotero,,VVC45TJ5
o114,Studying SF with HathiTrust,Staff Projects,Presentation / Poster,Done,Laure Thompson,,,1/14/2025,,,,zotero,,HD79X82Q
o115,When Humans and Machines Translate Char: Computational Insights into Feuillets d'Hypnos Across Languages,Staff Projects,Presentation / Poster,Done,Wouter Haverals,https://humanities.princeton.edu/event/resistance-and-its-futures-translating-the-untranslatable-wartime-poetry-of-rene-char/,,,,,,zotero,,JXALAHID
o116,The Elementary Particles: A Computational Stylometric Inquiry into the Mediaeval Greek-Latin Aristotle,Staff Projects,Publication,Done,"Pieter Beullens,Wouter Haverals,Ben Nagy",https://doi.org/10.21071/mijtk.v9i.16723,,4/23/2024,,,,zotero,,E3KURQYJ
o117,Post-OCR Correction with OpenAI's GPT Models on Challenging English Prosody Texts,Princeton Prosody Archive,Publication,Done,"James Zhang,Wouter Haverals,Mary Naydan,Brian Kernighan",https://doi.org/10.1145/3685650.3685669,,8/20/2024,,,,zotero,,54UBSCKB
o118,Proceedings of the Computational Humanities Research Conference 2024,Staff Projects,Publication,Done,"Wouter Haverals,Marijn Koolen,Laure Thompson",https://ceur-ws.org/Vol-3834/#xpreface,,12/4/2024,,,,zotero,,AEA77RLI
o119,Steps towards mining manuscript images for untranscribed texts: A case study from the Syriac collection at the Vatican Library,Staff Projects,Publication,Done,"Luigi Bambaci,George Kiraz,Christine Roughan,Matthieu Freyder,Daniel Stökl Ben Ezra",https://2024.computational-humanities-research.org/papers/paper110/,,12/5/2024,,,,zotero,,QVIXZCV4
o120,Extended Technique: New Scholarship on the Uses of Media,Staff Projects,Publication,Done,Grant Wythoff,https://amodern.net/article/amodern-9-techniques-technologies/,,,,,,zotero,,8PYFXPRJ
o121,What Is Space Opera in the 2020s?,Staff Projects,Publication,Done,Grant Wythoff,https://lareviewofbooks.org/article/what-is-space-opera-in-the-2020s,,,,,,zotero,,A4RZWA2U
o124,Undate: humanistic dates for computation,Undate,Publication,Done,"Rebecca Koeser,Julia Damerow,Robert Casties,Cole Crawford",https://doi.org/10.1017/chr.2025.10006,,8/5/2025,,,,zotero,,8PPM4GKS
o125,Alternative Infrastructures for Digital Equity: Community-Based Internet Access,Staff Projects,Publication,Done,"Alex Wermer-Colan,Grant Wythoff,Allan Gomez,Devren Washington,Alan Liu,Urszula Pawlicka-Deger,James Smithies",https://www.upress.umn.edu/9781517916084/critical-infrastructure-studies-and-digital-humanities/,,1/20/2026,,,,zotero,,IVUINH6D
o126,“Graduate Students and Project Management” in “Digital Futures of Graduate Study in the Humanities”,Digital Humanities Processes and Practices,Publication,Done,"Natalia Ermoalev,Rebecca Munson,Meredith Martin",https://dhdebates.gc.cuny.edu/read/digital-futures-of-graduate-study-in-the-humanities/section/a956c743-97af-4345-9da6-2e9682ca0a55#ch23,,12/17/2024,,,,zotero,,37GRMFXX
o127,Versions and Values: Exploring DH Coding Communities and Practices on GitHub,Staff Projects,Presentation / Poster,Done,"Zoe LeBlanc,Jeri Wieringa",https://doi.org/10.5281/zenodo.14516830,Zenodo,8/7/2024,,,,zotero,,D4VXWDLG
o128,A User's Guide to the Age of Tech,Staff Projects,Publication,Done,Grant Wythoff,https://www.upress.umn.edu/9781517918774/a-users-guide-to-the-age-of-tech/,,5/27/2025,,,isbn:9781517918774,zotero,,VVCUBEJZ
o129,Time Horizons of Futuristic Fiction,Staff Projects,Publication,Done,"Grant Wythoff,Theodore Leane,Alexander Manshel,J. Porter,Melanie Walsh",https://doi.org/10.18737/CNJV1733p4520221212,,6/24/2025,,,,zotero,,URAWFR44
o130,Prodigy Handbook - PPA,Princeton Prosody Archive,Grey Literature,Done,,https://docs.google.com/document/d/16aM9mgIayAdD4heavVI0Og3Ia7J2jnisbUqbIs66qy8/edit?usp=embed_facebook,,,,,,zotero,,RSKFVIEJ
o131,Representing Gender in the Shakespeare and Company Project,Shakespeare and Company,Grey Literature,Done,Nick Budak,https://shakespeareandco.princeton.edu/analysis/2019/12/representing-gender-in-the-shakespeare-and-company-project/,,,,,,zotero,,DXS2GF6C
o132,The Shakespeare and Company Lending Library Cards in Context,Shakespeare and Company,Grey Literature,Done,"Joshua Kotin,Rebecca Koeser",https://shakespeareandco.princeton.edu/analysis/2020/03/shakespeare-and-company-lending-library-cards-context/,,,,,,zotero,,Q32T3VN2
o133,Princeton Geniza Project,Princeton Geniza Lab,Presentation / Poster,Done,Rebecca Koeser,,,4/20/2023,,,,zotero,,GZNXGGMC
o134,Shakespeare and Company: Top Ten Lists,Shakespeare and Company,Grey Literature,Done,"Joshua Kotin,Rebecca Koeser",https://shakespeareandco.princeton.edu/analysis/2020/11/shakespeare-and-company-top-ten-lists/,,,,,,zotero,,93BBX47A
o136,Bridging the Gap Between Digital Humanities and Natural Language Processing: A Pedagogical Imperative for Humanistic NLP,New Languages for NLP,Publication,Done,"Toma Tasovac,Nick Budak,Natalia Ermolaev,Andrew Janco,David Lassner,Lorella Viola,Paul Spence",https://www.routledge.com/Multilingual-Digital-Humanities/Viola-Spence/p/book/9781032491943,,,,,,zotero,,KJETA8Y8
o137,From Precedents to Collective Action: Realities and Recommendations for Digital Dissertations in History,Staff Projects,Publication,Done,"Zoe LeBlanc,Celeste Sharpe,Jeri Wieringa",https://dhdebates.gc.cuny.edu/read/debates-in-the-digital-humanities-2023/section/ef4e4fb1-5c2e-43de-a52b-b8ff38ec7851#ch22,,,,,isbn:9781452969329,zotero,,XQFAAYRH
o138,"Computing Koselleck: Modelling Semantic Revolutions, 1720–1960",Staff Projects,Publication,Done,"Peter de Bolla,Ryan Heuser",https://doi.org/10.1017/9781009263610.012,,,,,,zotero,,2R5R6FSE
o139,Print a Model of the Shakespeare and Company Lending Library Membership,Data Beyond Vision,Publication,Done,Rebecca Koeser,https://startwords.cdh.princeton.edu/issues/1/modeling-howto/,,,,,,zotero,,XK3VTIMH
o140,Reading English-Language Literature in Interwar Paris: A Conversation with Joshua Kotin and Rebecca Sutton Koeser About the Shakespeare and Company Project,Shakespeare and Company,Publication,Done,Camey VanSant,https://modernistreviewcouk.wordpress.com/2020/08/04/a-conversation-with-joshua-kotin-and-rebecca-sutton-koser-about-the-shakespeare-and-company-project/,,8/4/2020,,,,zotero,,E2RRDM5W
o142,Best Practices?,Digital Humanities Processes and Practices,Presentation / Poster,Done,Rebecca Koeser,https://rlskoeser.github.io/2019/07/26/best-practices/,,7/26/2019,,,,zotero,,55E5HCET
o143,On a Path to Transparent Collaborations: Weave User Experience Magazine,Digital Humanities Processes and Practices,Publication,Done,Gissoo Doroudian,http://uxpamagazine.org/on-a-path-to-transparent-collaborations-weave/,,,,,,zotero,,AUF69R66
o163,Design for Interdisciplinary Collaboration,Digital Humanities Processes and Practices,Presentation / Poster,Done,"Xinyi Li,Rebecca Koeser",http://converge.cci.kent.edu/design-for-collaborative-research/,,,,,,zotero,,QEV9V89N
o165,Periodical Studies: Why and How to Re-read East European Journals,Staff Projects,Publication,Done,"Philip Gleissner,Natalia Ermolaev",https://www.academia.edu/20390023/Periodical_Studies_Why_and_How_to_Re-read_East_European_Journals,,,,,,zotero,,U635SZBX
o166,"HTR Winter School 2024 - Syriac, ÖNB Cod. Syr. 1",Princeton Open HTR Initiative,,Done,"Ephrem Aboud Ishac,Christine Roughan,Ammar Awad,Carlo Emilio,Saranya Chandran,Jennifer Griggs,Polina Ivanova,Branko Malešević,Stefan Marić,Francesca Nateri,Ivan Petrov,Cristina Tava,Maria Thomas",https://doi.org/10.5281/ZENODO.14714088,Zenodo,1/21/2025,,,,zotero,,I5W57QBZ
o167,Princeton Geniza Project Dataset,Princeton Geniza Lab,,Done,"Marina Rustow,Rebecca Koeser,Rachel Richman,Ksenia Ryzhova,Amel Bensalim,Abdellatif Mohamed,Moshe Yagur,Yusuf Umrethwala,Joseph Ginsberg,Amir Ashur,Ben Silverman,Nicholas Budak,Pratima Gopalakrishnan",https://doi.org/10.5281/ZENODO.15839056,Zenodo,7/8/2025,,,,zotero,,AKP2JXYW
